Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
4497.834	0.36944	0.8095	1.32074	0.84019	2.2105	0.46438	1.76141	3.0987	1.56057	0.23604
4495.90526	0.37582	0.802	1.31578	0.84052	2.20825	0.46176	1.76374	3.09637	1.56102	0.23932
4493.97651	0.3832	0.80638	1.32038	0.84809	2.21912	0.46187	1.7714	3.10842	1.56508	0.24024
4492.04777	0.38433	0.82148	1.33039	0.85278	2.24063	0.46518	1.78271	3.12641	1.5747	0.24273
4490.11902	0.37917	0.83083	1.33461	0.85192	2.25324	0.47023	1.79242	3.13927	1.58065	0.2427
4488.19028	0.37442	0.82613	1.33039	0.85034	2.24774	0.47503	1.79389	3.14063	1.57691	0.23657
4486.26153	0.37388	0.82312	1.32861	0.85066	2.23772	0.47786	1.78939	3.13739	1.57188	0.23062
4484.33279	0.37495	0.82893	1.33161	0.84875	2.22714	0.47896	1.77986	3.12936	1.56708	0.2295
4482.40404	0.37596	0.83073	1.33272	0.84566	2.21731	0.48067	1.7712	3.11987	1.56221	0.23213
4480.4753	0.38008	0.82553	1.33396	0.84768	2.22071	0.4821	1.77479	3.12511	1.56338	0.23602
4478.54655	0.38508	0.82121	1.33556	0.84984	2.23202	0.47879	1.78432	3.13851	1.56774	0.23587
4476.61781	0.38493	0.81583	1.33069	0.84515	2.2312	0.46887	1.7831	3.1355	1.56812	0.23079
4474.68906	0.38154	0.80783	1.32451	0.83937	2.21793	0.46142	1.77386	3.11902	1.56553	0.22779
4472.76032	0.37755	0.80507	1.32368	0.83797	2.20478	0.46391	1.76936	3.10544	1.56209	0.2283
4470.83157	0.37386	0.80712	1.3228	0.8384	2.19892	0.46866	1.76925	3.0981	1.55977	0.22853
4468.90282	0.37574	0.80764	1.32142	0.83813	2.20214	0.4707	1.76853	3.10003	1.56148	0.22863
4466.97408	0.38281	0.80507	1.32123	0.83721	2.208	0.47126	1.76327	3.10565	1.56029	0.23003
4465.04533	0.38669	0.80087	1.31786	0.83787	2.21035	0.46809	1.75498	3.10602	1.55102	0.23268
4463.11659	0.38584	0.801	1.31364	0.84138	2.20917	0.46321	1.75254	3.1053	1.54389	0.23591
4461.18784	0.38352	0.80427	1.31353	0.84388	2.2015	0.4617	1.75259	3.10015	1.54286	0.23886
4459.2591	0.37839	0.80202	1.31567	0.84102	2.19047	0.46413	1.74658	3.08554	1.54144	0.23951
4457.33035	0.37413	0.79991	1.31872	0.83518	2.19061	0.46803	1.74239	3.07783	1.54253	0.23784
4455.40161	0.37733	0.80985	1.32443	0.83489	2.20886	0.47154	1.75318	3.09688	1.55431	0.2386
4453.47286	0.38201	0.825	1.33	0.83979	2.22962	0.47452	1.77334	3.12807	1.5718	0.24134
4451.54412	0.37892	0.82824	1.32886	0.84079	2.22894	0.47513	1.77998	3.13397	1.57785	0.23974
4449.61537	0.37228	0.82016	1.32356	0.84166	2.21278	0.47212	1.77063	3.11828	1.5716	0.23564
4447.68663	0.37139	0.81541	1.32521	0.84799	2.20958	0.46855	1.76846	3.11674	1.57012	0.23699
4445.75788	0.37879	0.82081	1.33653	0.85211	2.22554	0.46798	1.77923	3.13542	1.5766	0.24256
4443.82914	0.38742	0.82874	1.34553	0.84985	2.24026	0.47084	1.78435	3.14741	1.57893	0.24253
4441.90039	0.38746	0.82573	1.34118	0.84596	2.23672	0.47343	1.77651	3.1361	1.57275	0.23622
4439.97165	0.38269	0.81539	1.33192	0.84405	2.22405	0.47277	1.76956	3.12053	1.56741	0.23247
4438.0429	0.38157	0.81572	1.33236	0.84507	2.22214	0.47132	1.77227	3.12293	1.57098	0.23299
4436.11415	0.38189	0.82742	1.33725	0.84688	2.22953	0.47253	1.77768	3.1346	1.57846	0.23445
4434.18541	0.38072	0.83479	1.33255	0.84472	2.23053	0.47393	1.77897	3.13485	1.57882	0.2378
4432.25666	0.37917	0.83182	1.32168	0.83952	2.22466	0.47246	1.77823	3.12443	1.57214	0.24304
4430.32792	0.37831	0.82364	1.3145	0.83629	2.21904	0.47312	1.77537	3.1135	1.56826	0.24505
4428.39917	0.3792	0.81686	1.31177	0.83456	2.21332	0.4765	1.76739	3.1037	1.56791	0.24249
4426.47043	0.38281	0.81739	1.3143	0.83485	2.21252	0.47488	1.76187	3.10456	1.56845	0.24184
4424.54168	0.38807	0.8245	1.32255	0.84028	2.22197	0.46959	1.76875	3.12157	1.57333	0.24667
4422.61294	0.39086	0.82989	1.32836	0.84453	2.22844	0.46703	1.77848	3.13301	1.57704	0.25105
4420.68419	0.39056	0.82699	1.32384	0.83924	2.21657	0.46573	1.77371	3.12161	1.57134	0.24803
4418.75545	0.39114	0.81998	1.31781	0.8326	2.20047	0.46344	1.76247	3.10926	1.56501	0.2398
4416.8267	0.39119	0.81827	1.32165	0.83581	2.20328	0.46178	1.76293	3.11883	1.56641	0.23589
4414.89796	0.38609	0.82157	1.32873	0.84232	2.21836	0.46296	1.77095	3.13536	1.56959	0.23951
4412.96921	0.38024	0.82346	1.33215	0.84345	2.22892	0.46889	1.77588	3.14276	1.57091	0.24283
4411.04047	0.37949	0.82337	1.33564	0.84309	2.23262	0.47583	1.77782	3.14399	1.56996	0.2416
4409.11172	0.38014	0.82364	1.33863	0.84598	2.2314	0.47892	1.77661	3.13841	1.5634	0.23933
4407.18298	0.37898	0.82328	1.33347	0.84862	2.22566	0.47759	1.76791	3.12314	1.55246	0.23627
